organization,employer_type,job_title,job_area,location,location_area,closing_date,closing_time,contract_type,work_pattern,salary,apply_url,job_reference,date_checked,source_url
Albany Infant & Nursery School,Education,Midday Supervisor / Play Worker,Children & Young People,"Albany Infant & Nursery School, Stapleford",Broxtowe,2026-09-24,,Other,Not stated,,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-1/brand-8/candidate/so/pm/4/pl/1/opp/31125-Midday-Supervisor-Play-Worker/en-GB,31125,2026-09-21,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-ext/brand-8/candidate/jobboard/vacancy/1/adv/
Ashfield District Council,Council,Housing Repairs Technician - Electrician,Housing & Homelessness,Sutton in Ashfield / council service,Ashfield,2026-09-22,,Permanent,Full-time,"£33,119 - £35,570 per annum",https://ce0930li.webitrent.com/ce0930li_webrecruitment/wrd/run/ETREC179GF.open?WVID=6777852QI7,,2026-09-21,https://www.ashfield.gov.uk/jobs-and-careers/
Ashfield District Council,Council,Quantity Surveyor,Other,Kirkby in Ashfield / Northern Depot service,Ashfield,2026-09-27,,Permanent,Full-time,"£40,444 - £43,149 per annum + £4,370.75 market supplement",https://ce0930li.webitrent.com/ce0930li_webrecruitment/wrd/run/ETREC179GF.open?WVID=6777852QI7,REQ000659,2026-09-21,https://www.ashfield.gov.uk/jobs-and-careers/
Ashfield District Council,Council,Vehicle Technician,"Property, Facilities & Operations",Sutton in Ashfield - Northern Depot,Ashfield,2026-09-27,,Permanent,Full-time,"£36,581 - £39,481 per annum",https://ce0930li.webitrent.com/ce0930li_webrecruitment/wrd/run/ETREC179GF.open?WVID=6777852QI7,,2026-09-21,https://www.ashfield.gov.uk/jobs-and-careers/
Ashfield District Council,Council,Digital Media Assistant,IT & Digital,Kirkby in Ashfield - Council Offices,Ashfield,2026-09-28,,Permanent,Full-time,"£27,274 - £29,071 per annum",https://ce0930li.webitrent.com/ce0930li_webrecruitment/wrd/run/ETREC179GF.open?WVID=6777852QI7,,2026-09-21,https://www.ashfield.gov.uk/jobs-and-careers/
Bassetlaw District Council,Council,Disrepair Team Administrator,Administration & Business Support,Worksop,Bassetlaw,2026-09-25,,Permanent,Full-time,"£29,542 - £32,046",https://ce0017li.webitrent.com/ce0017li_webrecruitment/wrd/run/ETREC179GF.open?WVID=8070960wxx,,2026-09-21,https://careers.bassetlaw.gov.uk/
Bassetlaw District Council,Council,Empty Homes Housing Assistant,Housing & Homelessness,Carlton in Lindrick / Worksop,Bassetlaw,2026-09-25,,Other,Full-time,"£26,427 - £27,709",https://ce0017li.webitrent.com/ce0017li_webrecruitment/wrd/run/ETREC179GF.open?WVID=8070960wxx,REQ000687,2026-09-21,https://careers.bassetlaw.gov.uk/
Bassetlaw District Council,Council,Organisation Development Specialist (12-month maternity cover),HR & People,Worksop,Bassetlaw,2026-09-27,,Fixed-term,Full-time,"£40,444 - £44,253",https://ce0017li.webitrent.com/ce0017li_webrecruitment/wrd/run/ETREC179GF.open?WVID=8070960wxx,REQ000682,2026-09-21,https://careers.bassetlaw.gov.uk/
Bilsthorpe Flying High Academy,Education,Teaching Assistant,Education & Training,"Newark, Nottinghamshire, NG22 8PS",Newark & Sherwood,2026-09-25,23:59,Permanent,Full-time,"£24,413.00 - £25,185.00 Annually (FTE) Grade 2, Point 2-4",https://teaching-vacancies.service.gov.uk/jobs/teaching-assistant-3623818b-628a-4a89-a30f-81e9968a4657,,2026-09-21,https://teaching-vacancies.service.gov.uk/jobs/teaching-assistant-3623818b-628a-4a89-a30f-81e9968a4657
Bilsthorpe Flying High Academy,Education,Class Teacher,Education & Training,"Newark, Nottinghamshire, NG22 8PS",Newark & Sherwood,2026-10-02,23:59,Permanent,Part-time,"£22,260.00 - £27,211.00 Annually (Actual)",https://teaching-vacancies.service.gov.uk/jobs/class-teacher-31cb0311-0db2-4549-973a-4f1f900e2de6,,2026-09-21,https://teaching-vacancies.service.gov.uk/jobs/class-teacher-31cb0311-0db2-4549-973a-4f1f900e2de6
Blidworth Oaks Primary School,Education,Head Cook,"Property, Facilities & Operations","Blidworth Oaks Primary School, Blidworth",Newark & Sherwood,2026-09-25,,Other,Not stated,,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-1/brand-8/candidate/so/pm/4/pl/1/opp/31167-Head-Cook/en-GB,31167,2026-09-21,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-ext/brand-8/candidate/jobboard/vacancy/1/adv/
Broadway Cinema,VCSE,Head of Film Hub Midlands,Management & Leadership,Nottingham,Nottingham,2026-09-30,12:00,Other,Full-time,"£44,958 per annum",https://broadway.org.uk/head-film-hub-midlands-0,,2026-09-21,https://www.nottinghamcvs.co.uk/news-and-events/jobs
Broxtowe Borough Council,Council,Tenancy Services Team Leader/Senior Housing Officer,Housing & Homelessness,Beeston,Broxtowe,2026-09-21,,Other,Not stated,,https://www.broxtowe.gov.uk/for-you/jobs/current-vacancies/h52-tenancy-services-team-leadersenior-housing-officer/,H52,2026-09-21,https://www.broxtowe.gov.uk/for-you/jobs/current-vacancies/
Broxtowe Borough Council,Council,Multi Skilled Gas Operative,"Property, Facilities & Operations",Beeston,Broxtowe,2026-09-22,,Other,Not stated,,https://www.broxtowe.gov.uk/for-you/jobs/current-vacancies/t413-multi-skilled-gas-operative/,T413,2026-09-21,https://www.broxtowe.gov.uk/for-you/jobs/current-vacancies/
Broxtowe Borough Council,Council,Private Sector Housing Officer,Housing & Homelessness,Beeston,Broxtowe,2026-09-30,,Other,Not stated,,https://www.broxtowe.gov.uk/for-you/jobs/current-vacancies/h70-h114-private-sector-housing-officer/,H70 & H114,2026-09-21,https://www.broxtowe.gov.uk/for-you/jobs/current-vacancies/
Broxtowe Borough Council,Council,Repairs Inspector,"Property, Facilities & Operations",Beeston,Broxtowe,2026-10-04,,Other,Not stated,,https://www.broxtowe.gov.uk/for-you/jobs/current-vacancies/t324-repairs-inspector/,T324,2026-09-21,https://www.broxtowe.gov.uk/for-you/jobs/current-vacancies/
Broxtowe Borough Council,Council,Senior Grounds Maintenance Team Leader,"Property, Facilities & Operations",Beeston,Broxtowe,2026-10-04,,Other,Not stated,,https://www.broxtowe.gov.uk/for-you/jobs/current-vacancies/t330-senior-grounds-maintenance-team-leader/,T330,2026-09-21,https://www.broxtowe.gov.uk/for-you/jobs/current-vacancies/
Broxtowe Borough Council,Council,Estates Surveyor,"Property, Facilities & Operations",Beeston,Broxtowe,2026-10-05,,Other,Not stated,,https://www.broxtowe.gov.uk/for-you/jobs/current-vacancies/p59-estates-surveyor/,P59,2026-09-21,https://www.broxtowe.gov.uk/for-you/jobs/current-vacancies/
Broxtowe Borough Council,Council,Part-time Senior Environmental Health Officer (Environmental Protection),"Planning, Environment & Regulatory",Beeston,Broxtowe,2026-10-05,,Other,Part-time,,https://www.broxtowe.gov.uk/for-you/jobs/current-vacancies/h79-senior-environmental-health-officer/,H79,2026-09-21,https://www.broxtowe.gov.uk/for-you/jobs/current-vacancies/
